z_m,phase,status,T_ambient_K,S_water,S_ice,gradT_K_m,r_critical_2nd_m,log10_nucleation_rate,diagnostic_class,rain_fav,snow_fav,graupel_fav,hail_fav,confidence
2210.5263157894738,liquid,ok,270.63157894736844,0.8789473684210526,0.9008053169372985,76.55162572897687,5.110986600049705e-06,53.12008593487615,subsaturated,0.39999999999999425,0.2657401315789414,0.2771600877192943,0.2125921052631531,0.8166666666666667
2210.5263157894738,ice,ok,270.63157894736844,0.8789473684210526,0.9008053169372985,154.60607984897732,4.195931054216016e-06,49.09230469515289,subsaturated,0.39999999999991653,0.26574013157886367,0.27716008771924244,0.21259210526309094,0.8166666666666667
2552.6315789473683,liquid,ok,268.4078947368421,1.08,1.131098237721949,76.0813290614362,5.11098661450434e-06,53.132523588469475,mixed_phase,0.6249999999999944,0.44351095504716737,0.4790073033647783,0.32371052631578495,0.8166666666666667
2552.6315789473683,ice,ok,268.4078947368421,1.08,1.131098237721949,153.24755806589928,4.195931058898668e-06,49.08961730713424,mixed_phase,0.6249999999999165,0.44351095504708943,0.47900730336472636,0.3237105263157226,0.8166666666666667
2894.7368421052633,liquid,ok,266.1842105263158,1.08,1.1559311124323288,75.61378658904898,5.110986629944056e-06,53.145018701111866,mixed_phase,0.6249999999999944,0.48845007475093166,0.5089667165006212,0.3348289473684165,0.8166666666666667
2894.7368421052633,ice,ok,266.1842105263158,1.08,1.1559311124323288,151.89238432902224,4.195931063510113e-06,49.086907561960906,mixed_phase,0.6249999999999163,0.4884500747508535,0.508966716500569,0.334828947368354,0.8166666666666667
3236.842105263158,liquid,ok,263.9605263157895,1.08,1.1813682750965913,75.14972763327539,5.110986646557898e-06,53.15756834336747,mixed_phase,0.6249999999999946,0.5341445543970491,0.539429702931366,0.345947368421048,0.8166666666666667
3236.842105263158,ice,ok,263.9605263157895,1.08,1.1813682750965913,150.54050747158982,4.195931068050726e-06,49.08417508451976,mixed_phase,0.6249999999999162,0.5341445543969707,0.5394297029313139,0.34594736842098534,0.8166666666666667
3578.9473684210525,liquid,ok,261.7368421052632,1.08,1.2074215810311326,74.69000710723118,5.110986664581297e-06,53.17016877861986,mixed_phase,0.6249999999999946,0.5713322368420994,0.5642214912280663,0.3570657894736796,0.8166666666666667
3578.9473684210525,ice,ok,261.7368421052632,1.08,1.2074215810311326,149.1918765916605,4.195931072520869e-06,49.08141949017715,mixed_phase,0.6249999999999161,0.571332236842021,0.564221491228014,0.3570657894736168,0.8166666666666667
3921.0526315789475,liquid,ok,259.5131578947368,1.08,1.2341028577498108,74.2356372299189,5.1109866843103955e-06,53.182815255279515,mixed_phase,0.6249999999999947,0.5852302631578893,0.5734868421052596,0.36818421052631145,0.8166666666666667
3921.0526315789475,ice,ok,259.5131578947368,1.08,1.2341028577498108,147.84644104588392,4.195931076920896e-06,49.07864038445394,mixed_phase,0.6249999999999158,0.5852302631578106,0.5734868421052071,0.3681842105262484,0.8166666666666667
4263.157894736842,liquid,ok,257.2894736842105,1.08,1.2614238801732618,73.78782927714605,5.110986706121802e-06,53.19550173375752,mixed_phase,0.6249999999999947,0.6491282894736787,0.6160855263157858,0.419302631578943,0.8166666666666667
4263.157894736842,ice,ok,257.2894736842105,1.08,1.2614238801732618,146.50415044332777,4.195931081251155e-06,49.07583736268666,mixed_phase,0.6249999999999157,0.6491282894735998,0.6160855263157332,0.4193026315788798,0.8166666666666667
4605.263157894737,liquid,ok,255.06578947368422,0.9644736842105263,1.1514711500177377,73.34804928017435,5.110986730500265e-06,53.20822052313244,deposition_favorable,0.3999999999999946,0.6023652533116403,0.5015768355410936,0.33042105263157445,0.8166666666666667
