grid_dx_m,radius_m,mask_mode,level_m,quantity,term,blocks,signed_m2_s,sum_abs_block_integrals_m2_s,sum_spatial_abs_blocks_m2_s,spatial_retained_fraction,temporal_retained_fraction
300,1200.0,fixed_initial,705.6673457395926,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,projection,9,-1.553742181301717e-12,2.270503578850674e-11,1.4895879482283237e-10,0.15242494285424038,0.06843161119738113
300,1200.0,fixed_initial,705.6673457395926,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,705.6673457395926,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,les_label,inferred_muscl_label,9,1114.3483815926315,3112.7448785025117,10730.801769930935,0.29007570405641236,0.3579954108313321
300,1200.0,fixed_initial,820.7271717566915,les_label,local_les,9,-1104.4558847667363,1187.515278881116,5667.452095676558,0.20953247752848542,0.9300561469889981
300,1200.0,fixed_initial,820.7271717566915,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,advection,9,-23330.109753767018,61084.75818249605,105244.59467356368,0.5804075579554671,0.38193013196624725
300,1200.0,fixed_initial,820.7271717566915,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,coriolis,9,281.1097531988325,336.8032683776918,767.6513495494245,0.43874510033152364,0.8346408113937763
300,1200.0,fixed_initial,820.7271717566915,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,les,9,-1104.4558847667363,1187.515278881116,5667.452095676558,0.20953247752848542,0.9300561469889981
300,1200.0,fixed_initial,820.7271717566915,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,projection,9,-1.450705229009882e-11,2.3436800786529532e-11,1.4906334357011637e-10,0.15722712388713686,0.618986030654698
300,1200.0,fixed_initial,820.7271717566915,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,820.7271717566915,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,les_label,inferred_muscl_label,9,1111.4375247110647,3891.5400711636057,8968.680207067055,0.4339033147928708,0.28560351541715845
300,1200.0,fixed_initial,941.5399890746453,les_label,local_les,9,-1147.9215859615244,1310.8780186696374,4372.549018917467,0.29979721507940416,0.8756890951047516
300,1200.0,fixed_initial,941.5399890746453,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,advection,9,-20085.691075065846,58493.69632162867,106783.38432068953,0.5477790078834894,0.34338214778946957
300,1200.0,fixed_initial,941.5399890746453,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,coriolis,9,315.44795721273283,322.05339806404356,694.8096505075661,0.46351313317076126,0.9794896098255198
300,1200.0,fixed_initial,941.5399890746453,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,les,9,-1147.9215859615244,1310.8780186696374,4372.549018917467,0.29979721507940416,0.8756890951047516
300,1200.0,fixed_initial,941.5399890746453,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,projection,9,-2.1156934846633738e-12,1.7049578911773437e-11,1.5609957479455292e-10,0.10922245582163098,0.12409065910726981
300,1200.0,fixed_initial,941.5399890746453,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,941.5399890746453,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,les_label,inferred_muscl_label,9,550.7706718302856,3525.6985944063777,8087.635738032115,0.43593686815378896,0.15621603976701215
300,1200.0,fixed_initial,1068.3934472584967,les_label,local_les,9,-695.3862666692072,1368.1394469723457,3349.624559308999,0.40844561017148207,0.5082714837351394
300,1200.0,fixed_initial,1068.3934472584967,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,advection,9,-19423.44357402945,56832.95267808383,107890.75546347968,0.5267638773492638,0.3417637595577469
300,1200.0,fixed_initial,1068.3934472584967,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,coriolis,9,332.2756686532856,332.2756686532856,631.3996656073741,0.5262525255436324,1.0
300,1200.0,fixed_initial,1068.3934472584967,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,les,9,-695.3862666692072,1368.1394469723457,3349.624559308999,0.40844561017148207,0.5082714837351394
300,1200.0,fixed_initial,1068.3934472584967,total,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,predictor_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,projection,9,-2.6899564119133718e-12,2.2679154696803386e-11,1.5162599569461775e-10,0.1495729976440209,0.11860920073412258
300,1200.0,fixed_initial,1068.3934472584967,total,projection_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,surface_drag,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1068.3934472584967,total,transport_microphysics_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,les_label,inferred_muscl_label,9,47.64760255928623,1644.6222661139566,8920.616072677429,0.18436196028559051,0.02897176059270543
300,1200.0,fixed_initial,1201.5895783515407,les_label,local_les,9,-129.68537157453017,748.9088997249772,2826.010541520741,0.26500569927880463,0.17316575036316792
300,1200.0,fixed_initial,1201.5895783515407,les_label,mask_motion,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,advection,9,-21943.701585570972,53284.523697302815,105567.19638101914,0.5047450867690497,0.4118212956209972
300,1200.0,fixed_initial,1201.5895783515407,total,buoyancy,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,coriolis,9,334.9357603138631,334.9357603138631,574.1970771364065,0.5833115034026821,1.0
300,1200.0,fixed_initial,1201.5895783515407,total,external_forcing,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,guard,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,initial_bcs,9,0.0,0.0,0.0,,
300,1200.0,fixed_initial,1201.5895783515407,total,les,9,-129.68537157453017,748.9088997249772,2826.010541520741,0.26500569927880463,0.17316575036316792
300,1200.0,fixed_initial,1201.5895783515407,total,mask_motion,9,0.0,0.0,0.0,,
